l_R,d_R,k_d,CT,CT_ratio
0.3,1.1700000000000008,4.722238456742566,0.0080498744615915,1.0540808586190704
0.3,1.1800000000000008,4.722238456742566,0.0080445955543583,1.0533896186381873
0.3,1.1900000000000008,4.722238456742566,0.008039430640653,1.0527133053988749
0.3,1.2000000000000008,4.722238456742566,0.0080343388487845,1.0520465670080756
0.3,1.2100000000000009,4.722238456742566,0.008029318515885,1.0513891857236213
0.3,1.2200000000000009,4.722238456742566,0.0080243680347204,1.0507409510882295
0.3,1.2300000000000009,4.722238456742566,0.0080194858515208,1.050101659645422
0.3,1.2400000000000009,4.722238456742566,0.0080146704636255,1.0494711146311513
0.3,1.2500000000000009,4.722238456742566,0.0080099204135964,1.0488491252029872
0.3,1.260000000000001,4.722238456742566,0.0080051938669647,1.0482302133981365
0.3,1.270000000000001,4.722238456742566,0.0080005704419797,1.0476248047298147
0.3,1.280000000000001,4.722238456742566,0.0079960082713094,1.0470274169319973
0.3,1.290000000000001,4.722238456742566,0.0079915060783976,1.046437882847611
0.3,1.300000000000001,4.722238456742566,0.0079870626265301,1.045856040536644
0.3,1.310000000000001,4.722238456742566,0.0079826767172431,1.0452817330677355
0.3,1.320000000000001,4.722238456742566,0.0079783471887972,1.0447148083183568
0.3,1.330000000000001,4.722238456742566,0.0079740729165153,1.0441551190190548
0.3,1.340000000000001,4.722238456742566,0.0079698528079945,1.0436025221264829
0.3,1.350000000000001,4.722238456742566,0.0079656438660454,1.0430513874268357
0.3,1.360000000000001,4.722238456742566,0.0079615290386584,1.042512576442161
0.3,1.370000000000001,4.722238456742566,0.0079574652847433,1.0419804532101178
0.3,1.380000000000001,4.722238456742566,0.0079534516346039,1.0414548907550356
0.3,1.390000000000001,4.722238456742566,0.0079494871463783,1.0409357657459732
0.3,1.400000000000001,4.722238456742566,0.0079455709049814,1.0404229583582432
0.3,1.410000000000001,4.722238456742566,0.0079417020210955,1.039916352141239
0.3,1.420000000000001,4.722238456742566,0.0079378796304055,1.039415833918288
0.3,1.430000000000001,4.722238456742566,0.0079341028916442,1.0389212935306973
0.3,1.440000000000001,4.722238456742566,0.0079303709871914,1.038432623916201
0.3,1.450000000000001,4.722238456742566,0.007926683122086,1.0379497209795998
0.3,1.460000000000001,4.722238456742566,0.0079229950387778,1.0374667894707033
0.3,1.470000000000001,4.722238456742566,0.0079193930443925,1.0369951307693763
0.3,1.480000000000001,4.722238456742566,0.0079158328266113,1.0365289424538213
0.3,1.490000000000001,4.722238456742566,0.0079123136708589,1.0360681309548592
0.3,1.500000000000001,4.722238456742566,0.0079088348809993,1.0356126051178216
0.3,1.5100000000000011,4.722238456742566,0.0079053957786922,1.0351622761182773
0.3,1.5200000000000011,4.722238456742566,0.0079019957027679,1.0347170573801767
0.3,1.5300000000000011,4.722238456742566,0.0078986340101466,1.0342768646962313
0.3,1.5400000000000011,4.722238456742566,0.0078953100732711,1.0338416158917387
0.3,1.5500000000000012,4.722238456742566,0.007892023276791,1.033411230390402
0.3,1.5600000000000012,4.722238456742566,0.0078887730224679,1.0329856298566336
0.3,1.5700000000000012,4.722238456742566,0.0078855587264854,1.0325647378433163
0.3,1.5800000000000012,4.722238456742566,0.0078823345972604,1.0321425582282178
0.3,1.5900000000000012,4.722238456742566,0.0078791906040769,1.0317308719279943
0.3,1.6000000000000012,4.722238456742566,0.0078760808984765,1.0313236753729471
0.3,1.6100000000000012,4.722238456742566,0.007873004949696,1.030920899062945
0.3,1.6200000000000012,4.722238456742566,0.0078699622391632,1.0305224750941933
0.3,1.6300000000000012,4.722238456742566,0.0078669522600989,1.030128337107115
0.3,1.6400000000000012,4.722238456742566,0.0078639745171423,1.0297384202373034
0.3,1.6500000000000012,4.722238456742566,0.0078610285258158,1.029352661045438
0.3,1.6600000000000013,4.722238456742566,0.0078581138120004,1.0289709974485928
0.3,1.6700000000000013,4.722238456742566,0.0078552299131788,1.028593368883011
0.3,1.6800000000000013,4.722238456742566,0.0078523763761542,1.0282197160053985
0.3,1.6900000000000013,4.722238456742566,0.0078495527574707,1.027849980747971
0.3,1.7000000000000013,4.722238456742566,0.0078467586231066,1.0274841062782931
0.3,1.7100000000000013,4.722238456742566,0.0078439935481951,1.0271220369627074
0.3,1.7200000000000013,4.722238456742566,0.0078412100062398,1.0267575495029035
0.3,1.730000000000001,4.722238456742566,0.007838501882397,1.0264029375745953
0.3,1.740000000000001,4.722238456742566,0.0078358215946885,1.0260519706144766
0.3,1.750000000000001,4.722238456742566,0.0078331687522132,1.0257045974364862
0.3,1.7600000000000011,4.722238456742566,0.0078305429719447,1.0253607678857062
